__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[32, 4, 14, 16, 15, 5, 22, 29, 5, 19, 9, 14, 34, 30, 13, 30, 29, 17, 23, 28] 2.6832170558870866e-05
[30, 13, 4, 14, 11, 20, 4, 13, 25, 23, 16, 38, 33, 7, 35, 37, 22, 40, 34, 18] 4.8268515011862495e-05
[24, 27, 9, 37, 33, 13, 31, 23, 17, 12, 10, 36, 29, 26, 17, 34, 39, 33, 20, 38] 3.714582285493443e-05
[19, 28, 30, 32, 17, 34, 20, 35, 11, 21, 32, 11, 22, 39, 28, 14, 4, 4, 13, 39] 7.235661033316206e-05
[8, 36, 33, 23, 18, 24, 37, 9, 6, 28, 12, 30, 12, 8, 32, 5, 30, 21, 6, 13] 4.5983268917432576e-05
[16, 27, 29, 36, 17, 20, 27, 13, 30, 35, 40, 35, 24, 36, 39, 5, 28, 10, 21, 37] 6.219802311198528e-05
[5, 7, 21, 13, 24, 31, 16, 39, 23, 13, 27, 33, 23, 5, 30, 19, 30, 23, 25, 15] 3.802936888033505e-05
[39, 15, 13, 16, 40, 11, 12, 17, 15, 40, 26, 6, 14, 10, 24, 29, 33, 13, 10, 10] 2.7112552198519512e-05
[7, 25, 21, 13, 29, 9, 5, 21, 23, 21, 4, 24, 17, 17, 20, 5, 35, 17, 24, 17] 2.0597990888936464e-05
[29, 11, 39, 27, 13, 13, 20, 20, 27, 26, 21, 23, 16, 10, 25, 39, 15, 28, 7, 34] 1.994975125926003e-05
[27, 15, 22, 32, 4, 28, 28, 16, 31, 28, 7, 39, 39, 38, 27, 27, 8, 9, 27, 31] 3.7250942602643384e-05
[21, 32, 31, 31, 17, 16, 23, 32, 8, 27, 24, 28, 10, 11, 20, 11, 38, 32, 23, 27] 6.57834445951976e-05
[38, 29, 6, 18, 8, 32, 25, 34, 32, 11, 11, 4, 29, 17, 20, 24, 27, 8, 26, 24] 2.6467228281419242e-05
